name,ligID,targetID_autodock,instance_autodock,score_autodock,targetID_dock,instance_dock,score_dock,rmsd_autodock_dock,consensus
ZINC000000000035,lig0111,target001,autodock,-8.640,target001,,,,False
ZINC000000000039,lig0112,target001,autodock,-8.830,target001,,,,False
ZINC000000000044,lig0113,target001,autodock,-5.680,target001,dock,-31.055,20.068,False
ZINC000000000045,lig0114,target001,autodock,-6.020,target001,dock,-34.714,1.459,True
ZINC000000000048,lig0115,target001,autodock,-6.370,target001,dock,-34.105,1.027,True
ZINC000000000051,lig0116,target001,autodock,-7.070,target001,,,,False
ZINC000000000061,lig0117,target001,autodock,-7.080,target001,dock,-34.133,19.947,False
ZINC000000000076,lig0118,target001,autodock,-7.640,target001,dock,-31.205,20.575,False
ZINC000000000078,lig0119,target001,autodock,-7.720,target001,dock,-36.578,22.077,False
ZINC000000000083,lig0120,target001,autodock,-4.310,target001,dock,-23.925,19.844,False
ZINC000000000088,lig0121,target001,autodock,-8.390,target001,,,,False
ZINC000000000123,lig0122,target001,autodock,-8.810,target001,,,,False
ZINC000000000125,lig0123,target001,autodock,-5.940,target001,dock,-28.184,3.469,False
ZINC000000000128,lig0124,target001,autodock,-7.880,target001,,,,False
ZINC000000000130,lig0125,target001,autodock,-7.160,target001,dock,-31.757,22.254,False
ZINC000000000133,lig0126,target001,autodock,-7.160,target001,dock,-33.974,22.438,False
ZINC000000000135,lig0127,target001,autodock,-6.770,target001,dock,-32.297,2.919,False
ZINC000000000136,lig0128,target001,autodock,-6.900,target001,dock,-39.152,3.284,False
ZINC000000000137,lig0129,target001,autodock,-7.830,target001,,,,False
ZINC000000000140,lig0130,target001,autodock,-6.800,target001,dock,-33.987,20.830,False
ZINC000000000142,lig0131,target001,autodock,-7.930,target001,dock,-36.606,19.947,False
ZINC000000000145,lig0132,target001,autodock,-7.570,target001,,,,False
ZINC000000000152,lig0133,target001,autodock,-9.770,target001,dock,-41.810,4.325,False
ZINC000000000153,lig0134,target001,autodock,-7.270,target001,,,,False
ZINC000000000164,lig0135,target001,autodock,-7.530,target001,,,,False
ZINC000000000166,lig0136,target001,autodock,-6.460,target001,,,,False
ZINC000000000167,lig0137,target001,autodock,-9.160,target001,,,,False
ZINC000000000172,lig0138,target001,autodock,-7.170,target001,,,,False
ZINC000000000176,lig0139,target001,autodock,-8.550,target001,dock,-33.435,8.248,False
ZINC000000000179,lig0140,target001,autodock,-8.730,target001,,,,False
ZINC000000000181,lig0141,target001,autodock,-7.660,target001,,,,False
ZINC000000000184,lig0142,target001,autodock,-7.340,target001,,,,False
ZINC000000000186,lig0143,target001,autodock,-6.260,target001,dock,-29.444,21.820,False
ZINC000000000189,lig0144,target001,autodock,-8.770,target001,,,,False
ZINC000000000196,lig0145,target001,autodock,-8.060,target001,,,,False
ZINC000000000198,lig0146,target001,autodock,-8.290,target001,,,,False
ZINC000000000200,lig0147,target001,autodock,-8.660,target001,,,,False
ZINC000000000231,lig0148,target001,autodock,-6.810,target001,dock,-31.939,21.861,False
ZINC000000000232,lig0149,target001,autodock,-6.970,target001,dock,-29.483,22.512,False
ZINC000000000241,lig0150,target001,autodock,-4.890,target001,dock,-30.506,20.853,False
ZINC000000000245,lig0151,target001,autodock,-7.720,target001,,,,False
ZINC000000000253,lig0152,target001,autodock,-7.740,target001,,,,False
ZINC000000000254,lig0153,target001,autodock,-6.610,target001,,,,False
ZINC000000000255,lig0154,target001,autodock,-9.410,target001,dock,-36.731,5.942,False
ZINC000000000259,lig0155,target001,autodock,-7.630,target001,,,,False
ZINC000000000267,lig0156,target001,autodock,-4.870,target001,dock,-24.264,0.095,True
ZINC000000000268,lig0157,target001,autodock,-7.120,target001,,,,False
ZINC000000000270,lig0158,target001,autodock,-7.820,target001,,,,False
ZINC000000000272,lig0159,target001,autodock,-7.010,target001,,,,False
ZINC000000000276,lig0160,target001,autodock,-6.090,target001,,,,False
ZINC000000000277,lig0161,target001,autodock,-9.160,target001,dock,-34.363,6.049,False
ZINC000000000282,lig0162,target001,autodock,-7.430,target001,,,,False
ZINC000000000283,lig0163,target001,autodock,-6.860,target001,,,,False
ZINC000000000284,lig0164,target001,autodock,-7.700,target001,,,,False
