name,ligID,targetID_autodock,instance_autodock,autodock,targetID_dsx,instance_dsx,dsx,rmsd_autodock_dsx,consensus
ZINC000000038268,lig3606,target001,autodock,-7.830,target001,dock,-87.289,21.798,False
ZINC000000038269,lig3607,target001,vina,-10.440,target001,vina,-103.151,0.000,True
ZINC000000038282,lig3608,target001,autodock,-8.420,target001,autodock,-88.962,6.694,False
ZINC000000038289,lig3609,target001,autodock,-10.930,target001,vina,-109.832,5.670,False
ZINC000000038297,lig3610,target001,autodock,-9.220,target001,vina,-101.216,6.181,False
ZINC000000038301,lig3611,target001,autodock,-9.440,target001,dock,-93.371,4.157,False
ZINC000000038307,lig3612,target001,autodock,-9.320,target001,autodock,-94.678,4.840,False
ZINC000000038340,lig3613,target001,autodock,-7.670,target001,vina,-83.359,7.224,False
ZINC000000038344,lig3614,target001,autodock,-11.010,target001,autodock,-109.217,2.422,False
ZINC000000038366,lig3615,target001,autodock,-7.470,target001,autodock,-97.730,9.763,False
ZINC000000038379,lig3616,target001,autodock,-7.840,target001,dock,-75.897,3.398,False
ZINC000000038384,lig3617,target001,autodock,-8.300,target001,autodock,-89.634,0.000,True
ZINC000000038393,lig3618,target001,autodock,-8.660,target001,vina,-87.312,5.485,False
ZINC000000038407,lig3619,target001,autodock,-8.050,target001,autodock,-91.793,4.844,False
ZINC000000038408,lig3620,target001,autodock,-7.870,target001,autodock,-88.560,0.000,True
ZINC000000038411,lig3621,target001,vina,-8.290,target001,vina,-91.223,5.613,False
ZINC000000038412,lig3622,target001,autodock,-8.480,target001,autodock,-89.806,0.000,True
ZINC000000038413,lig3623,target001,autodock,-8.700,target001,autodock,-97.563,0.001,True
ZINC000000038414,lig3624,target001,autodock,-8.470,target001,autodock,-93.735,5.866,False
ZINC000000038415,lig3625,target001,autodock,-8.090,target001,dock,-89.368,4.655,False
ZINC000000038419,lig3626,target001,vina,-8.240,target001,vina,-90.844,0.000,True
ZINC000000038420,lig3627,target001,autodock,-8.390,target001,autodock,-88.475,2.009,False
ZINC000000038424,lig3628,target001,dock,-6.370,target001,autodock,-73.214,6.818,False
ZINC000000038431,lig3629,target001,autodock,-7.560,target001,dock,-79.746,5.673,False
ZINC000000038433,lig3630,target001,autodock,-10.070,target001,vina,-93.302,13.087,False
ZINC000000038434,lig3631,target001,autodock,-8.830,target001,autodock,-95.528,4.111,False
ZINC000000038435,lig3632,target001,autodock,-8.530,target001,autodock,-97.953,6.336,False
ZINC000000038439,lig3633,target001,autodock,-10.600,target001,dock,-110.241,4.781,False
ZINC000000038455,lig3634,target001,autodock,-9.440,target001,vina,-91.438,5.726,False
ZINC000000038461,lig3635,target001,vina,-8.990,target001,vina,-90.135,0.000,True
ZINC000000038464,lig3636,target001,autodock,-8.400,target001,vina,-81.426,4.567,False
ZINC000000038465,lig3637,target001,vina,-8.410,target001,dock,-95.338,5.763,False
ZINC000000038467,lig3638,target001,autodock,-8.720,target001,vina,-82.905,6.788,False
ZINC000000038469,lig3639,target001,dock,-8.740,target001,dock,-92.902,0.000,True
ZINC000000038470,lig3640,target001,autodock,-8.850,target001,vina,-87.481,4.356,False
ZINC000000038471,lig3641,target001,autodock,-8.020,target001,vina,-84.055,4.995,False
ZINC000000038473,lig3642,target001,vina,-10.390,target001,autodock,-93.276,3.255,False
ZINC000000038477,lig3643,target001,vina,-8.310,target001,vina,-85.425,4.240,False
ZINC000000038478,lig3644,target001,autodock,-9.080,target001,autodock,-93.429,4.887,False
ZINC000000038480,lig3645,target001,autodock,-10.120,target001,autodock,-96.451,0.000,True
ZINC000000038482,lig3646,target001,autodock,-9.170,target001,vina,-92.172,5.617,False
ZINC000000038496,lig3647,target001,autodock,-10.480,target001,vina,-98.457,4.141,False
ZINC000000038497,lig3648,target001,autodock,-9.620,target001,vina,-103.833,0.783,True
ZINC000000038521,lig3649,target001,dock,-7.550,target001,vina,-75.554,6.307,False
ZINC000000038522,lig3650,target001,autodock,-8.500,target001,autodock,-94.390,4.028,False
ZINC000000038523,lig3651,target001,autodock,-9.490,target001,vina,-98.471,9.370,False
ZINC000000038526,lig3652,target001,autodock,-7.390,target001,autodock,-83.905,0.000,True
ZINC000000038528,lig3653,target001,autodock,-9.490,target001,autodock,-97.927,4.874,False
ZINC000000038533,lig3654,target001,autodock,-8.490,target001,vina,-94.805,4.981,False
ZINC000000038536,lig3655,target001,autodock,-9.180,target001,autodock,-100.535,5.705,False
ZINC000000038539,lig3656,target001,autodock,-7.910,target001,vina,-88.156,5.363,False
ZINC000000038544,lig3657,target001,autodock,-8.510,target001,vina,-84.225,3.854,False
ZINC000000038546,lig3658,target001,autodock,-8.070,target001,vina,-83.068,7.489,False
ZINC000000038559,lig3659,target001,autodock,-7.760,target001,vina,-98.277,4.417,False
ZINC000000038562,lig3660,target001,autodock,-7.820,target001,vina,-75.097,2.902,False
ZINC000000038567,lig3661,target001,vina,-8.160,target001,vina,-95.311,4.608,False
ZINC000000038570,lig3662,target001,autodock,-10.680,target001,vina,-105.552,6.999,False
ZINC000000038576,lig3663,target001,autodock,-9.210,target001,autodock,-86.858,2.065,False
ZINC000000038580,lig3664,target001,autodock,-7.600,target001,autodock,-95.139,0.000,True
ZINC000000038582,lig3665,target001,autodock,-10.460,target001,autodock,-94.572,5.043,False
ZINC000000038585,lig3666,target001,autodock,-5.400,target001,dock,-66.136,20.228,False
ZINC000000038589,lig3667,target001,autodock,-8.010,target001,autodock,-86.918,5.782,False
ZINC000000038600,lig3668,target001,autodock,-8.030,target001,autodock,-109.306,3.366,False
ZINC000000038616,lig3669,target001,autodock,-8.220,target001,vina,-91.339,13.549,False
ZINC000000038619,lig3670,target001,autodock,-8.450,target001,autodock,-89.290,0.000,True
ZINC000000038623,lig3671,target001,vina,-9.310,target001,vina,-102.112,4.496,False
ZINC000000038625,lig3672,target001,autodock,-9.240,target001,autodock,-106.415,4.488,False
ZINC000000038630,lig3673,target001,autodock,-8.680,target001,vina,-88.616,4.464,False
ZINC000000038632,lig3674,target001,vina,-9.270,target001,vina,-103.229,0.000,True
ZINC000000038635,lig3675,target001,autodock,-8.330,target001,autodock,-90.781,8.008,False
ZINC000000038637,lig3676,target001,autodock,-8.710,target001,vina,-85.234,4.814,False
ZINC000000038653,lig3677,target001,autodock,-6.740,target001,autodock,-80.597,0.000,True
ZINC000000038660,lig3678,target001,dock,-7.790,target001,dock,-70.983,7.100,False
ZINC000000038664,lig3679,target001,autodock,-7.520,target001,dock,-75.116,6.942,False
ZINC000000038667,lig3680,target001,autodock,-8.670,target001,vina,-83.204,7.464,False
ZINC000000038668,lig3681,target001,autodock,-8.330,target001,dock,-79.334,7.082,False
ZINC000000038670,lig3682,target001,autodock,-7.960,target001,vina,-81.271,7.451,False
ZINC000000038682,lig3683,target001,autodock,-8.180,target001,vina,-86.550,7.509,False
ZINC000000038683,lig3684,target001,autodock,-7.810,target001,vina,-81.235,7.337,False
ZINC000000038686,lig3685,target001,autodock,-7.590,target001,autodock,-85.144,8.580,False
ZINC000000038695,lig3686,target001,autodock,-8.550,target001,vina,-94.701,7.605,False
ZINC000000038703,lig3687,target001,autodock,-8.740,target001,vina,-91.175,3.330,False
ZINC000000038706,lig3688,target001,autodock,-8.220,target001,dock,-76.878,5.960,False
ZINC000000038708,lig3689,target001,autodock,-7.790,target001,autodock,-90.671,0.000,True
ZINC000000038710,lig3690,target001,autodock,-9.730,target001,vina,-90.280,1.527,True
ZINC000000038715,lig3691,target001,autodock,-8.780,target001,dock,-73.060,7.505,False
ZINC000000038722,lig3692,target001,autodock,-9.540,target001,autodock,-92.651,5.907,False
ZINC000000038728,lig3693,target001,dock,-9.130,target001,dock,-92.204,3.957,False
ZINC000000038732,lig3694,target001,autodock,-8.980,target001,dock,-88.171,21.429,False
ZINC000000038736,lig3695,target001,autodock,-7.420,target001,autodock,-101.689,8.336,False
ZINC000000038742,lig3696,target001,autodock,-9.830,target001,vina,-90.866,8.861,False
ZINC000000038747,lig3697,target001,autodock,-7.220,target001,autodock,-86.761,4.024,False
ZINC000000038754,lig3698,target001,autodock,-7.910,target001,autodock,-94.294,3.924,False
ZINC000000038758,lig3699,target001,autodock,-10.050,target001,autodock,-104.051,4.153,False
ZINC000000038763,lig3700,target001,autodock,-8.210,target001,autodock,-95.208,3.196,False
ZINC000000038765,lig3701,target001,autodock,-10.140,target001,autodock,-91.555,3.192,False
ZINC000000038784,lig3702,target001,autodock,-9.390,target001,autodock,-96.166,0.000,True
ZINC000000038812,lig3703,target001,autodock,-9.670,target001,vina,-83.241,3.746,False
ZINC000000038818,lig3704,target001,autodock,-6.820,target001,dock,-71.900,6.898,False
ZINC000000038832,lig3705,target001,autodock,-10.340,target001,vina,-101.273,2.682,False
ZINC000000038834,lig3706,target001,autodock,-9.690,target001,vina,-101.499,14.255,False
ZINC000000038839,lig3707,target001,autodock,-9.290,target001,dock,-95.693,10.315,False
ZINC000000038840,lig3708,target001,autodock,-10.280,target001,autodock,-104.279,12.432,False
ZINC000000038842,lig3709,target001,autodock,-9.830,target001,autodock,-112.678,8.999,False
ZINC000000038858,lig3710,target001,autodock,-8.320,target001,autodock,-80.224,0.000,True
ZINC000000038859,lig3711,target001,vina,-9.340,target001,autodock,-87.678,7.443,False
ZINC000000038861,lig3712,target001,autodock,-8.520,target001,vina,-98.074,3.977,False
ZINC000000038862,lig3713,target001,autodock,-9.280,target001,autodock,-91.808,5.285,False
ZINC000000038863,lig3714,target001,autodock,-8.500,target001,autodock,-97.328,0.000,True
ZINC000000038867,lig3715,target001,autodock,-8.730,target001,vina,-80.354,10.883,False
ZINC000000038869,lig3716,target001,autodock,-7.920,target001,vina,-101.998,4.686,False
ZINC000000038875,lig3717,target001,vina,-7.970,target001,vina,-101.137,0.000,True
ZINC000000038878,lig3718,target001,autodock,-8.190,target001,autodock,-93.443,3.761,False
ZINC000000038887,lig3719,target001,autodock,-9.740,target001,autodock,-104.836,0.000,True
ZINC000000038890,lig3720,target001,autodock,-8.810,target001,autodock,-89.956,1.467,True
ZINC000000038891,lig3721,target001,autodock,-9.770,target001,autodock,-113.180,0.000,True
ZINC000000038901,lig3722,target001,vina,-8.040,target001,vina,-97.870,0.000,True
ZINC000000038911,lig3723,target001,autodock,-8.400,target001,vina,-83.742,10.584,False
ZINC000000038918,lig3724,target001,autodock,-8.840,target001,autodock,-88.217,13.346,False
