name,ligID,targetID_autodock,instance_autodock,autodock,targetID_vina,instance_vina,vina,targetID_dsx,instance_dsx,dsx,rmsd_autodock_vina,rmsd_autodock_dsx,consensus
ZINC000000000681,lig0261,target001,autodock,-7.600,target001,vina,-7.559,target001,autodock,-96.223,4.092,0.000,False
ZINC000000000682,lig0262,target001,autodock,-8.290,target001,vina,-8.227,target001,vina,-91.198,5.448,5.448,False
ZINC000000000685,lig0263,target001,autodock,-7.870,target001,vina,-8.741,target001,vina,-95.496,6.394,3.924,False
ZINC000000000686,lig0264,target001,autodock,-8.390,target001,autodock,-7.036,target001,autodock,-76.599,5.784,0.000,False
ZINC000000000693,lig0265,target001,autodock,-6.740,target001,vina,-6.591,target001,autodock,-64.480,3.648,5.152,False
ZINC000000000694,lig0266,target001,vina,-8.700,target001,vina,-8.810,target001,vina,-104.578,1.862,0.000,True
ZINC000000000704,lig0267,target001,dock,-6.350,target001,vina,-6.948,target001,dock,-103.440,2.974,0.000,False
ZINC000000000707,lig0268,target001,autodock,-8.930,target001,autodock,-9.229,target001,autodock,-89.042,0.001,3.998,False
ZINC000000000710,lig0269,target001,autodock,-7.030,target001,autodock,-7.981,target001,dock,-80.877,4.202,5.063,False
ZINC000000000711,lig0270,target001,vina,-5.210,target001,autodock,-5.676,target001,autodock,-71.596,21.745,21.745,False
ZINC000000000721,lig0271,target001,autodock,-5.830,target001,vina,-6.880,target001,vina,-82.795,4.860,1.549,False
ZINC000000000722,lig0272,target001,vina,-9.850,target001,vina,-8.584,target001,vina,-112.053,2.623,5.655,False
ZINC000000000724,lig0273,target001,autodock,-7.050,target001,vina,-6.306,target001,autodock,-84.025,7.025,13.784,False
ZINC000000000726,lig0274,target001,dock,-6.120,target001,autodock,-8.035,target001,dock,-71.635,0.229,0.000,True
ZINC000000000735,lig0275,target001,autodock,-9.440,target001,vina,-8.591,target001,vina,-101.610,4.527,4.527,False
ZINC000000000738,lig0276,target001,autodock,-6.640,target001,vina,-4.769,target001,vina,-81.270,20.613,20.613,False
ZINC000000000740,lig0277,target001,autodock,-9.590,target001,vina,-9.122,target001,vina,-99.377,5.655,5.655,False
ZINC000000000744,lig0278,target001,dock,-6.080,target001,dock,-7.811,target001,dock,-93.976,0.000,0.000,True
ZINC000000000748,lig0279,target001,autodock,-8.340,target001,vina,-7.212,target001,vina,-95.519,3.284,3.284,False
ZINC000000000753,lig0280,target001,autodock,-9.930,target001,autodock,-9.264,target001,autodock,-106.377,0.000,0.000,True
ZINC000000000754,lig0281,target001,autodock,-6.610,target001,vina,-9.204,target001,autodock,-87.156,3.700,0.002,False
ZINC000000000757,lig0282,target001,autodock,-5.110,target001,vina,-6.524,target001,dock,-72.055,2.872,18.232,False
